Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Reliability
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,False,32000,Unreliable
Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,False,23000,Moderate
5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,False,42000,Reliable
Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,False,20000,Moderate
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,1.5,350000,True,0,Moderate
Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,False,10000,Unreliable
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,False,23000,Moderate
ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,False,45000,Unreliable
Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,False,30000,Unreliable
Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,False,149000,Moderate
Yaris,Hafar Al-Batin,Toyota,Automatic,Saudi,Semi Full,2017,1.5,80000,True,0,Moderate
Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2016,3.5,187000,True,0,Moderate
A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,False,179000,Reliable
Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,False,22000,Unreliable
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,False,55000,Unreliable
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,3.6,280000,True,0,Unreliable
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,False,49500,Unreliable
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2008,1.7,345500,True,0,Unreliable
Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,False,52000,Moderate
C300,Hafar Al-Batin,Chrysler,Automatic,Saudi,Full,2016,3.6,110000,True,0,Moderate
Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,False,25000,Unreliable
3,Dammam,Mazda,Automatic,Saudi,Standard,2019,1.6,55800,True,0,Moderate
X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,False,72000,Moderate
Elantra,Abha,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,27000,False,1010,Reliable
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,False,105000,Moderate
Elantra,Riyadh,Hyundai,Manual,Saudi,Semi Full,2011,1.6,600000,True,0,Unreliable
VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,False,99000,Moderate
Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,False,57000,Moderate
The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,False,140000,Reliable
Tucson,Al-Medina,Hyundai,Automatic,Saudi,Full,2017,2.4,89000,True,0,Moderate
A8,Riyadh,Audi,Automatic,Saudi,Semi Full,2015,3.0,137000,True,0,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2009,5.7,422000,True,0,Unreliable
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,False,72000,Unreliable
Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,False,110000,Reliable
Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,False,55000,Moderate
Camry,Tabouk,Toyota,Manual,Other,Semi Full,2004,2.5,500,True,0,Unreliable
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,False,15000,Unreliable
SL,Jeddah,Mercedes,Automatic,Saudi,Full,2017,4.7,81000,False,265000,Moderate
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,False,56500,Moderate
SEL,Tabouk,Mercedes,Automatic,Saudi,Full,1986,3.0,500000,False,5500,Unreliable
Land Cruiser Pickup,Qassim,Nissan,Manual,Unknown,Full,2016,4.8,42000,True,0,Moderate
FJ,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,False,90000,Moderate
Malibu,Arar,Chevrolet,Automatic,Saudi,Standard,2021,1.5,24000,False,1200,Reliable
Aveo,Riyadh,Chevrolet,Manual,Saudi,Standard,2011,1.6,266000,True,0,Unreliable
MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,False,71500,Moderate
Victoria,Qassim,Ford,Automatic,Saudi,Full,2011,4.6,280000,True,0,Unreliable
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,False,29000,Moderate
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,False,62000,Moderate
Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,False,141000,Moderate
Flex,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,3.5,214000,True,0,Moderate
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2019,4.5,82808,False,230000,Moderate
GLC,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,4000,False,225000,Reliable
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2009,3.5,417970,True,0,Unreliable
Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,False,60000,Moderate
6,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,False,93000,Reliable
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2011,6.2,270373,True,0,Unreliable
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,False,68000,Moderate
Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,False,50000,Moderate
Senta fe,Qassim,Hyundai,Automatic,Other,Full,2015,2.0,96000,True,0,Moderate
H1,Riyadh,Hyundai,Manual,Other,Full,2007,2.4,81000,True,0,Moderate
Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,False,69000,Moderate
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,False,121500,Reliable
Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,False,38000,Moderate
Suburban,Al-Medina,Chevrolet,Automatic,Other,Full,1999,5.3,70000,False,20000,Moderate
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,False,51000,Moderate
Symbol,Riyadh,Renault,Automatic,Saudi,Full,2020,1.6,100,True,0,Reliable
Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,False,109000,Moderate
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,False,48000,Moderate
Avanza,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2016,1.6,168000,True,0,Moderate
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,False,47000,Moderate
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,False,88000,Moderate
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,False,15000,Unreliable
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,False,20000,Moderate
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,False,47000,Moderate
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2012,4.0,280,True,0,Unreliable
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,False,142000,Moderate
LS,Taef,Lexus,Automatic,Other,Semi Full,2005,4.6,240000,True,0,Unreliable
Datsun,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,False,53000,Moderate
Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,False,39000,Moderate
Accent,Riyadh,Hyundai,Automatic,Saudi,Full,2016,1.5,183000,True,0,Moderate
Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,False,58000,Moderate
C5700,Hafar Al-Batin,GMC,Manual,Saudi,Standard,1977,1.5,4358765,True,0,Unreliable
Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,False,78500,Moderate
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,False,60000,Moderate
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2015,5.4,160000,True,0,Moderate
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,False,60000,Unreliable
Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2018,3.6,65000,True,0,Moderate
Optra,Riyadh,Chevrolet,Automatic,Saudi,Standard,2007,1.6,2000000,False,5000,Unreliable
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,False,35000,Moderate
Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,False,30000,Moderate
SEL,Riyadh,Mercedes,Automatic,Other,Full,1991,5.5,160000,True,0,Unreliable
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,False,45000,Unreliable
Other,Jubail,Suzuki,Automatic,Saudi,Standard,2017,1.6,100,True,0,Moderate
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,False,45500,Reliable
Furniture,Taef,Toyota,Manual,Saudi,Standard,2009,2.7,530500,False,33000,Unreliable
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,False,125000,Moderate
Murano,Riyadh,Nissan,Automatic,Saudi,Standard,2008,1.0,300,False,9500,Unreliable
S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,False,63000,Unreliable
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,False,63000,Moderate
Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,False,80000,Moderate
Yukon,Al-Ahsa,GMC,Automatic,Other,Full,2003,1.6,300000,True,0,Unreliable
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,False,60000,Moderate
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,3.5,440000,True,0,Unreliable
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,False,44000,Moderate
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2007,4.7,269000,True,0,Unreliable
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,False,54000,Moderate
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,False,37000,Moderate
Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,False,35000,Reliable
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,False,79000,Moderate
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,False,70000,Reliable
Land Cruiser,Riyadh,Toyota,Automatic,Unknown,Full,2014,4.6,191000,True,0,Moderate
BT-50,Al-Medina,Mazda,Manual,Saudi,Standard,2014,2.5,38000,True,0,Moderate
Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,False,81000,Moderate
Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,False,48000,Moderate
Yukon,Khobar,GMC,Automatic,Gulf Arabic,Full,2008,8.0,350000,True,0,Unreliable
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Standard,2012,4.0,189,True,0,Unreliable
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,False,68500,Moderate
Suburban,Aseer,GMC,Automatic,Other,Full,2011,5.3,174000,True,0,Unreliable
Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,2018,1.6,93000,True,0,Moderate
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,False,80000,Reliable
Ranger,Al-Medina,Ford,Manual,Saudi,Standard,2010,2.6,300000,True,0,Unreliable
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,False,33500,Reliable
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,228,True,0,Moderate
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,False,33000,Moderate
Fusion,Jazan,Ford,Automatic,Saudi,Standard,2012,2.5,219000,False,14500,Unreliable
Aveo,Qassim,Chevrolet,Manual,Other,Standard,2011,1.2,102000,False,11000,Unreliable
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,False,118000,Reliable
Rav4,Jeddah,Toyota,Automatic,Saudi,Full,2016,1.4,38000,True,0,Moderate
C300,Riyadh,Chrysler,Automatic,Other,Full,2017,5.7,62000,True,0,Moderate
Hilux,Abha,Toyota,Manual,Saudi,Standard,1998,4.0,250000,True,0,Unreliable
Land Cruiser,Aseer,Toyota,Automatic,Gulf Arabic,Semi Full,2014,4.6,189821,True,0,Moderate
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2009,5.7,210000,True,0,Unreliable
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,False,36500,Unreliable
Charger,Al-Medina,Dodge,Automatic,Other,Full,2020,3.6,27000,True,0,Reliable
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,False,32000,Moderate
CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,False,63000,Moderate
Patrol,Tabouk,Nissan,Manual,Saudi,Full,1999,4.5,300,True,0,Unreliable
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2014,4.0,182000,True,0,Moderate
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,False,65000,Moderate
Kona,Riyadh,Hyundai,Automatic,Saudi,Full,2020,2.0,32000,True,0,Reliable
Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,False,57000,Moderate
Optima,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,False,48000,Moderate
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,False,75000,Moderate
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.6,19000,True,0,Moderate
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.4,21000,True,0,Reliable
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,700,True,0,Reliable
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,False,61500,Moderate
Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,False,25000,Unreliable
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,False,32000,Moderate
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011,5.3,231000,False,45000,Unreliable
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,74000,True,0,Moderate
Durango,Yanbu,Dodge,Automatic,Saudi,Semi Full,2013,5.7,487100,False,35000,Unreliable
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,False,44500,Moderate
Land Cruiser Pickup,Jubail,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.6,169000,True,0,Moderate
Suburban,Riyadh,GMC,Automatic,Other,Full,1998,5.3,395000,True,0,Unreliable
Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2016,2.4,128,False,35000,Moderate
Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,False,39000,Moderate
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2021,3.3,2200,True,0,Reliable
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,False,99000,Moderate
Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,1995,5.3,215000,False,13000,Unreliable
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,False,29000,Moderate
CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,False,32000,Unreliable
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,False,60000,Moderate
Yaris,Yanbu,Toyota,Automatic,Other,Standard,2017,1.5,208000,True,0,Moderate
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,False,37000,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,False,125000,Moderate
Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,False,107000,Moderate
ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,False,102000,Moderate
Navigator,Khobar,Lincoln,Automatic,Saudi,Full,2013,5.7,27700,False,50000,Unreliable
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016,5.3,205544,False,99500,Moderate
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,False,58000,Moderate
Kona,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,10000,True,0,Reliable
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,False,122000,Moderate
ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,False,65000,Unreliable
Opirus,Riyadh,Kia,Automatic,Other,Semi Full,2006,3.5,25500,False,14000,Unreliable
Marquis,Riyadh,Ford,Automatic,Saudi,Full,1997,4.6,40000,True,0,Unreliable
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,False,23000,Moderate
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,False,21000,Unreliable
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,107000,False,77000,Moderate
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,False,88000,Moderate
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2009,2.7,357172,True,0,Unreliable
Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,False,52000,Moderate
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,110790,False,77000,Moderate
The 7,Al-Medina,BMW,Automatic,Saudi,Full,2014,2.0,116000,False,100000,Moderate
FX,Dammam,INFINITI,Automatic,Saudi,Full,2013,5.7,60000,True,0,Moderate
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,False,58000,Moderate
Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,False,59500,Reliable
CX9,Dammam,Mazda,Automatic,Other,Full,2016,2.5,104000,False,105000,Moderate
Azera,Jubail,Hyundai,Automatic,Saudi,Semi Full,2012,6.0,330,True,0,Unreliable
D-MAX,Abha,Isuzu,Automatic,Saudi,Full,2020,3.0,19000,True,0,Reliable
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,False,45000,Moderate
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,False,30000,Moderate
Sierra,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2016,5.3,99000,True,0,Moderate
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,False,59500,Reliable
Camry,Makkah,Toyota,Automatic,Saudi,Full,2020,2.4,2000,False,119000,Reliable
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,35000,True,0,Reliable
Azera,Jeddah,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,False,56500,Moderate
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,1999,3.5,290000,True,0,Unreliable
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2013,5.4,200700,True,0,Unreliable
CS35,Riyadh,Changan,Automatic,Saudi,Full,2021,1.6,5000,False,44000,Reliable
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,False,38500,Moderate
Sunny,Riyadh,Nissan,Automatic,Other,Standard,2013,1.5,175097,True,0,Unreliable
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,240000,False,35000,Unreliable
LS,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,132000,False,165000,Moderate
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,300000,False,48000,Unreliable
Hilux,Najran,Toyota,Manual,Saudi,Full,2018,2.7,122000,False,65000,Moderate
The 3,Riyadh,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,False,45000,Unreliable
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,143000,False,60000,Moderate
Dyna,Riyadh,Isuzu,Manual,Saudi,Standard,2021,3.0,100000,True,0,Unreliable
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2014,2.7,298000,True,0,Moderate
GLE,Riyadh,Mercedes,Automatic,Other,Full,2020,6.9,24000,False,330000,Reliable
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2015,2.0,300,False,25000,Moderate
Furniture,Makkah,Toyota,Automatic,Saudi,Standard,2015,4.5,10040,True,0,Moderate
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,False,72910,Reliable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2010,4.6,344000,False,88000,Unreliable
Sedona,Jeddah,Kia,Automatic,Other,Semi Full,2016,3.2,118000,False,65000,Moderate
Hiace,Aseer,Toyota,Manual,Saudi,Standard,2011,2.7,200,True,0,Unreliable
Victoria,Khobar,Ford,Automatic,Saudi,Standard,2011,4.6,176000,False,50000,Unreliable
Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,False,77000,Moderate
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2012,4.5,327000,True,0,Unreliable
Corolla,Riyadh,Toyota,Automatic,Saudi,Full,2003,1.0,50000,False,15000,Moderate
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2014,3.7,388000,False,37000,Moderate
Tahoe,Aseer,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,False,35000,Unreliable
CLA,Riyadh,Mercedes,Automatic,Other,Full,2020,2.0,15000,False,410000,Reliable
Grand Cherokee,Dammam,Jeep,Automatic,Saudi,Full,2013,5.7,77000,False,77000,Moderate
Lumina,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2008,3.0,295000,True,0,Unreliable
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,False,33000,Moderate
Sonata,Jazan,Hyundai,Automatic,Saudi,Full,2017,2.4,267,True,0,Moderate
Vanquish,Dammam,Aston Martin,Automatic,Saudi,Full,2013,6.0,32000,False,400000,Unreliable
CX9,Abha,Mazda,Automatic,Unknown,Full,2012,2.5,377836,True,0,Unreliable
Sorento,Jubail,Kia,Automatic,Unknown,Semi Full,2015,3.3,133981,True,0,Moderate
Suburban,Abha,GMC,Automatic,Other,Standard,1993,5.9,442050,True,0,Unreliable
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2015,2.7,280,True,0,Moderate
Avalon,Jeddah,Toyota,Automatic,Saudi,Full,2006,3.5,400,True,0,Unreliable
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,False,35500,Moderate
Land Cruiser,Hail,Toyota,Manual,Gulf Arabic,Full,2013,1.0,378000,False,75000,Unreliable
ES,Dammam,Lexus,Automatic,Saudi,Full,2013,1.6,263000,False,66000,Unreliable
Hilux,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,174172,False,65000,Moderate
Hilux,Jazan,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,False,75000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,88100,True,0,Moderate
Safrane,Jeddah,Renault,Automatic,Saudi,Full,2012,2.6,144000,False,20000,Unreliable
Cores,Makkah,Kia,Manual,Saudi,Standard,2005,4.0,400,False,10000,Unreliable
Cruze,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2011,1.8,10000,True,0,Unreliable
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2016,4.0,191000,True,0,Moderate
Cadenza,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,False,70000,Moderate
Marquis,Qassim,Ford,Automatic,Saudi,Semi Full,2010,4.6,286,True,0,Unreliable
D'max,Jeddah,Suzuki,Manual,Other,Full,2001,1.0,1000,False,7000,Unreliable
Silverado,Dammam,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,False,85000,Moderate
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,128439,False,76500,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,False,55000,Moderate
Malibu,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,False,27000,Moderate
Land Cruiser Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,False,95000,Moderate
SL,Riyadh,Mercedes,Automatic,Other,Full,1995,3.5,119,True,0,Unreliable
Charger,Riyadh,Dodge,Automatic,Unknown,Full,2020,3.6,9120,False,115000,Reliable
